val_acc,val_loss,train_acc,train_loss
0.0845,2.5270,0.1224,2.5203
0.1203,2.4203,0.1370,2.4767
0.1506,2.3780,0.1450,2.4572
0.1706,2.3591,0.1526,2.4412
0.1876,2.3459,0.1600,2.4267
0.1903,2.3367,0.1661,2.4119
0.1792,2.3328,0.1718,2.3980
0.1733,2.3278,0.1773,2.3831
0.1662,2.3246,0.1839,2.3677
0.1546,2.3273,0.1883,2.3507
0.1511,2.3224,0.1958,2.3344
0.1513,2.3212,0.2016,2.3160
0.1489,2.3243,0.2090,2.2943
0.1545,2.3028,0.2171,2.2719
0.1517,2.3335,0.2252,2.2495
0.1586,2.3239,0.2346,2.2203
0.1694,2.2765,0.2413,2.1999
0.1612,2.3257,0.2541,2.1663
0.1570,2.3471,0.2639,2.1384
0.1565,2.5527,0.2759,2.1050
0.1818,2.2643,0.2878,2.0742
0.1839,2.3241,0.3007,2.0388
0.1857,2.3727,0.3133,2.0032
0.1879,2.3049,0.3264,1.9711
0.1737,2.3996,0.3395,1.9310
0.1607,2.4901,0.3503,1.8986
0.1881,2.2921,0.3634,1.8670
0.1705,2.4288,0.3761,1.8329
0.1611,2.5929,0.3874,1.7996
0.2041,2.5403,0.4018,1.7604
0.2004,2.5087,0.4118,1.7295
0.1703,2.5617,0.4230,1.6981
0.1688,2.6298,0.4323,1.6714
0.1778,2.7026,0.4455,1.6330
0.1595,2.6828,0.4563,1.6038
0.1871,2.5896,0.4678,1.5729
0.1540,3.1081,0.4756,1.5442
0.1736,3.2327,0.4870,1.5156
0.1609,2.6826,0.4990,1.4766
0.2012,2.9240,0.5054,1.4576
0.1565,3.1050,0.5166,1.4299
0.1547,3.2174,0.5209,1.4125
0.1578,2.9744,0.5288,1.3952
0.1612,3.0116,0.5364,1.3667
0.1759,3.0590,0.5533,1.3234
0.1719,2.9077,0.5688,1.2768
0.2112,3.1680,0.5895,1.2183
0.1546,3.2429,0.6241,1.1331
0.1940,3.3990,0.6401,1.0885
0.1629,3.5101,0.6518,1.0537
0.2229,3.3299,0.6709,1.0027
0.1546,3.5168,0.6960,0.9376
0.1960,3.3539,0.7105,0.9004
0.1494,3.6953,0.7187,0.8729
0.1874,3.5749,0.7336,0.8320
0.1774,3.5369,0.7464,0.7970
0.1832,3.6608,0.7604,0.7571
0.2012,3.8120,0.7685,0.7342
0.2008,3.8147,0.7848,0.6923
0.1784,3.8432,0.7937,0.6638
0.1782,3.9053,0.8025,0.6390
0.2182,3.9606,0.8127,0.6142
0.2018,3.8827,0.8266,0.5798
0.1841,4.0729,0.8378,0.5473
0.2141,4.0639,0.8488,0.5158
0.1776,4.3323,0.8585,0.4924
0.2101,4.2223,0.8640,0.4725
0.1939,4.3034,0.8732,0.4487
0.1801,4.4461,0.8822,0.4247
0.1940,4.5592,0.8898,0.4037
0.1788,4.6194,0.8975,0.3820
0.1746,4.7076,0.9044,0.3622
0.1851,4.7161,0.9114,0.3431
0.1822,4.8173,0.9176,0.3253
0.1730,4.9604,0.9234,0.3091
0.1721,5.0060,0.9281,0.2940
0.1747,5.0401,0.9337,0.2790
0.1729,5.0862,0.9378,0.2662
0.1709,5.1994,0.9422,0.2531
0.1701,5.2399,0.9458,0.2423
0.1716,5.2218,0.9492,0.2310
0.1659,5.3919,0.9520,0.2216
0.1696,5.3778,0.9557,0.2122
0.1665,5.4533,0.9585,0.2039
0.1680,5.4583,0.9608,0.1972
0.1672,5.5320,0.9629,0.1904
0.1673,5.5627,0.9645,0.1850
0.1659,5.5914,0.9658,0.1802
0.1663,5.6244,0.9668,0.1761
0.1673,5.6400,0.9673,0.1734
0.1684,5.6451,0.9684,0.1707
0.1657,5.6895,0.9691,0.1686
0.1643,5.7133,0.9699,0.1666
0.1663,5.6898,0.9699,0.1646
0.1677,5.7027,0.9703,0.1636
0.1668,5.7111,0.9700,0.1629
0.1670,5.7240,0.9694,0.1632
0.1672,5.7049,0.9688,0.1632
0.1670,5.6971,0.9687,0.1631
0.1650,5.6903,0.9684,0.1629
