val_acc,val_loss,train_acc,train_loss
0.0797,2.4490,0.1274,2.5095
0.1213,2.3319,0.1458,2.4556
0.1762,2.3034,0.1578,2.4317
0.2047,2.2954,0.1655,2.4116
0.2171,2.2917,0.1723,2.3936
0.2280,2.2881,0.1786,2.3775
0.2387,2.2849,0.1837,2.3609
0.2446,2.2835,0.1892,2.3443
0.2520,2.2799,0.1945,2.3257
0.2658,2.2765,0.2003,2.3057
0.2813,2.2750,0.2083,2.2846
0.2937,2.2835,0.2146,2.2630
0.2999,2.2867,0.2255,2.2322
0.3098,2.3119,0.2336,2.2080
0.3180,2.3514,0.2444,2.1735
0.3131,2.2985,0.2547,2.1474
0.2980,2.3269,0.2666,2.1129
0.2790,2.3084,0.2800,2.0798
0.2625,2.3562,0.2917,2.0452
0.2794,2.3240,0.3064,2.0109
0.2605,2.3869,0.3186,1.9738
0.2643,2.5436,0.3325,1.9374
0.2615,2.6469,0.3439,1.9031
0.2729,2.3823,0.3557,1.8700
0.2964,2.4791,0.3695,1.8316
0.2769,2.9969,0.3823,1.7985
0.2953,2.5001,0.3932,1.7685
0.2566,2.6967,0.4059,1.7326
0.3198,2.7316,0.4158,1.7016
0.2635,2.7767,0.4283,1.6663
0.2933,2.6275,0.4365,1.6409
0.2979,2.8231,0.4485,1.6085
0.3128,2.8088,0.4605,1.5733
0.3258,2.8156,0.4662,1.5560
0.3212,2.6576,0.4839,1.5098
0.2839,3.1833,0.4909,1.4859
0.3127,2.8519,0.5030,1.4553
0.2974,3.0882,0.5102,1.4324
0.2487,2.9429,0.5170,1.4073
0.3284,3.0345,0.5317,1.3669
0.2458,3.3200,0.5346,1.3574
0.2823,2.9299,0.5425,1.3316
0.2470,3.4110,0.5528,1.3006
0.2451,3.6533,0.5563,1.2928
0.1987,3.5921,0.5633,1.2680
0.2528,3.3582,0.5778,1.2283
0.1922,3.4452,0.6052,1.1540
0.2755,3.9611,0.6341,1.0782
0.1975,3.6502,0.6541,1.0280
0.2425,3.6620,0.6638,0.9997
0.2241,3.8629,0.6731,0.9685
0.2485,3.8181,0.6838,0.9371
0.2256,3.7485,0.6989,0.8972
0.2108,4.1958,0.7176,0.8487
0.2653,3.8917,0.7412,0.7895
0.2460,4.0323,0.7526,0.7574
0.2421,4.0604,0.7698,0.7141
0.1863,4.0448,0.7787,0.6877
0.1994,4.1929,0.7869,0.6659
0.2374,4.3793,0.7993,0.6315
0.1885,4.2626,0.8128,0.5957
0.2161,4.2991,0.8264,0.5612
0.2172,4.4580,0.8382,0.5311
0.2510,4.2384,0.8471,0.5057
0.2024,4.4734,0.8588,0.4747
0.2124,4.4825,0.8679,0.4508
0.2357,4.5344,0.8760,0.4276
0.2237,4.6466,0.8850,0.4046
0.2216,4.8036,0.8933,0.3817
0.2171,4.7791,0.8998,0.3639
0.2025,4.8593,0.9059,0.3460
0.1951,5.0418,0.9134,0.3272
