val_acc,val_loss,train_acc,train_loss
0.2913,2.7762,0.0859,2.8861
0.3438,2.6789,0.0996,2.8374
0.3523,2.6528,0.1080,2.8146
0.3579,2.6389,0.1178,2.7945
0.3627,2.6243,0.1244,2.7758
0.3634,2.6186,0.1292,2.7594
0.3630,2.6132,0.1332,2.7458
0.3631,2.6090,0.1365,2.7340
0.3637,2.6035,0.1415,2.7214
0.3640,2.5991,0.1455,2.7082
0.3661,2.5905,0.1511,2.6943
0.3667,2.5878,0.1553,2.6790
0.3678,2.5824,0.1621,2.6621
0.3710,2.5733,0.1683,2.6437
0.3727,2.5662,0.1745,2.6239
0.3767,2.5536,0.1817,2.6015
0.3773,2.5522,0.1891,2.5782
0.3772,2.5532,0.1970,2.5547
0.3778,2.5706,0.2051,2.5292
0.3850,2.5445,0.2123,2.5058
0.3762,2.5666,0.2221,2.4781
0.3797,2.5663,0.2307,2.4518
0.3869,2.5359,0.2403,2.4237
0.3777,2.5815,0.2484,2.3955
0.3800,2.5697,0.2580,2.3688
0.3744,2.6059,0.2683,2.3357
0.3750,2.6437,0.2755,2.3107
0.3744,2.5892,0.2862,2.2784
0.3573,2.6528,0.2959,2.2471
0.3617,2.6819,0.3035,2.2196
0.3535,2.6661,0.3128,2.1902
0.3023,2.8874,0.3233,2.1561
0.3214,2.8010,0.3314,2.1274
0.3067,2.7874,0.3420,2.0928
0.3252,2.7768,0.3515,2.0619
0.3245,2.8402,0.3641,2.0228
0.2642,2.9786,0.3701,1.9985
0.2828,2.9277,0.3801,1.9669
0.2654,2.9248,0.3900,1.9316
0.2136,3.0237,0.3974,1.9064
0.2420,3.0142,0.4077,1.8737
0.2194,3.0432,0.4155,1.8488
0.2365,3.3288,0.4222,1.8232
0.2044,3.0917,0.4229,1.8171
0.2069,3.0933,0.4398,1.7644
0.2026,3.3528,0.4468,1.7408
0.1880,3.5905,0.4653,1.6844
0.2260,3.1154,0.4806,1.6340
0.2025,3.2133,0.4940,1.5980
0.1423,3.5080,0.5077,1.5500
0.1673,3.3239,0.5219,1.5085
0.1638,3.4754,0.5384,1.4599
0.1560,3.5154,0.5499,1.4231
0.1941,3.3916,0.5606,1.3910
0.1742,3.6321,0.5715,1.3517
0.1829,3.6232,0.5893,1.3051
0.1521,3.8302,0.5970,1.2788
0.1494,3.7825,0.6124,1.2356
0.1531,3.8033,0.6224,1.2044
0.1297,3.9486,0.6406,1.1558
0.1282,3.9698,0.6518,1.1217
0.1394,3.9510,0.6648,1.0862
0.1149,4.3748,0.6793,1.0487
0.1563,4.1636,0.6848,1.0276
0.1345,4.2382,0.6934,1.0044
0.1446,4.2443,0.7028,0.9758
0.1294,4.3850,0.7129,0.9457
0.1371,4.4131,0.7239,0.9168
0.1285,4.4739,0.7338,0.8887
0.1411,4.4939,0.7411,0.8671
0.1387,4.6503,0.7488,0.8451
0.1337,4.5831,0.7559,0.8244
0.1396,4.6154,0.7638,0.8030
0.1412,4.6927,0.7717,0.7806
0.1278,4.8194,0.7789,0.7605
0.1402,4.8165,0.7854,0.7416
0.1295,4.9388,0.7910,0.7235
0.1342,4.8953,0.7973,0.7057
0.1372,4.9127,0.8029,0.6919
0.1342,5.0291,0.8088,0.6753
0.1431,4.9814,0.8135,0.6602
0.1448,5.0041,0.8183,0.6470
0.1347,5.0743,0.8222,0.6344
0.1355,5.1336,0.8262,0.6215
0.1394,5.1098,0.8304,0.6102
0.1418,5.1466,0.8348,0.5986
0.1393,5.1555,0.8381,0.5897
0.1434,5.1737,0.8410,0.5814
0.1426,5.1862,0.8430,0.5744
0.1428,5.1937,0.8452,0.5683
0.1410,5.2315,0.8464,0.5626
0.1440,5.1988,0.8478,0.5590
0.1394,5.2343,0.8491,0.5556
0.1435,5.2326,0.8495,0.5528
0.1450,5.2177,0.8497,0.5511
0.1441,5.2165,0.8500,0.5502
0.1461,5.2040,0.8496,0.5498
0.1464,5.2025,0.8484,0.5516
0.1454,5.2003,0.8471,0.5530
0.1461,5.1993,0.8455,0.5553
