val_acc,val_loss,train_acc,train_loss
0.3049,2.7686,0.0873,2.8767
0.3518,2.6679,0.1056,2.8229
0.3536,2.6463,0.1181,2.7945
0.3532,2.6389,0.1270,2.7681
0.3501,2.6392,0.1339,2.7456
0.3466,2.6432,0.1388,2.7282
0.3452,2.6454,0.1440,2.7128
0.3466,2.6423,0.1489,2.6975
0.3495,2.6388,0.1548,2.6804
0.3520,2.6325,0.1610,2.6614
0.3552,2.6244,0.1687,2.6393
0.3583,2.6183,0.1767,2.6143
0.3606,2.6095,0.1844,2.5881
0.3608,2.6093,0.1936,2.5608
0.3609,2.6031,0.2028,2.5326
0.3627,2.6023,0.2121,2.5059
0.3534,2.6386,0.2222,2.4769
0.3608,2.6174,0.2320,2.4477
0.3497,2.6483,0.2415,2.4182
0.3335,2.7343,0.2505,2.3898
0.3202,2.6991,0.2592,2.3618
0.2983,2.8261,0.2693,2.3308
0.2843,2.7379,0.2777,2.3019
0.2461,2.8905,0.2858,2.2727
0.2222,2.8797,0.2957,2.2406
0.2406,2.8222,0.3038,2.2120
0.2113,2.9326,0.3137,2.1803
0.2293,3.0198,0.3224,2.1517
0.1895,3.0392,0.3328,2.1203
0.1882,2.9799,0.3420,2.0892
0.1876,3.1571,0.3518,2.0576
0.1972,3.1047,0.3600,2.0268
0.2070,3.1007,0.3701,1.9955
0.1872,3.1107,0.3777,1.9694
0.1808,3.1072,0.3866,1.9384
0.1753,3.2017,0.3957,1.9094
0.1439,3.3206,0.4051,1.8770
0.1915,3.2074,0.4137,1.8508
0.1425,3.5040,0.4194,1.8294
0.1586,3.3636,0.4289,1.7999
0.1194,3.4691,0.4354,1.7712
0.1320,3.4455,0.4420,1.7522
0.1199,3.6731,0.4496,1.7282
0.1304,3.6856,0.4500,1.7181
0.1393,3.5251,0.4584,1.6948
0.1090,3.5469,0.4684,1.6630
0.1321,3.6849,0.4865,1.6085
0.1358,3.7649,0.5057,1.5524
0.1036,3.8338,0.5168,1.5164
0.1291,3.6906,0.5274,1.4839
0.1197,3.8936,0.5397,1.4486
0.1335,3.9744,0.5481,1.4168
0.0983,4.0731,0.5610,1.3806
0.1107,4.0594,0.5710,1.3498
0.1253,4.3248,0.5827,1.3175
0.1257,4.2293,0.5953,1.2796
0.1225,4.3990,0.6063,1.2470
0.1237,4.2886,0.6147,1.2207
0.1340,4.3759,0.6230,1.1946
0.1285,4.4327,0.6348,1.1635
0.1121,4.4247,0.6441,1.1351
0.1171,4.6290,0.6563,1.1034
0.1122,4.5910,0.6671,1.0735
0.1170,4.6600,0.6755,1.0491
0.1161,4.7347,0.6820,1.0296
0.1150,4.9824,0.6896,1.0070
0.0997,4.8794,0.6985,0.9816
0.1108,4.9562,0.7068,0.9588
0.1084,5.0140,0.7143,0.9383
0.1148,5.0805,0.7211,0.9169
0.1181,5.1426,0.7286,0.8974
0.1087,5.2381,0.7351,0.8787
0.1084,5.2571,0.7413,0.8604
0.1190,5.3220,0.7465,0.8435
0.1153,5.3350,0.7522,0.8272
0.1158,5.4052,0.7575,0.8111
0.1145,5.5078,0.7634,0.7953
0.1211,5.4983,0.7688,0.7804
0.1119,5.5409,0.7739,0.7660
0.1120,5.6493,0.7785,0.7518
0.1068,5.6564,0.7833,0.7391
0.1156,5.6783,0.7877,0.7264
0.1071,5.7767,0.7912,0.7154
0.1047,5.7890,0.7953,0.7041
0.1067,5.8321,0.7988,0.6940
0.1070,5.8791,0.8011,0.6846
0.1063,5.8888,0.8051,0.6752
0.1048,5.9065,0.8079,0.6669
0.1088,5.9338,0.8103,0.6600
0.1067,5.9729,0.8115,0.6542
0.1073,5.9630,0.8135,0.6491
0.1050,5.9997,0.8155,0.6448
0.1067,5.9989,0.8169,0.6409
0.1058,6.0138,0.8169,0.6385
0.1067,6.0190,0.8183,0.6355
0.1073,6.0319,0.8185,0.6343
0.1074,6.0413,0.8185,0.6327
0.1088,6.0463,0.8185,0.6319
0.1109,6.0498,0.8183,0.6324
0.1136,6.0211,0.8185,0.6312
