val_acc,val_loss,train_acc,train_loss
0.2112,2.1997,0.1795,2.3631
0.2074,2.1607,0.2268,2.2263
0.2201,2.1493,0.2460,2.1729
0.2342,2.1396,0.2592,2.1339
0.2406,2.1291,0.2711,2.0992
0.2463,2.1238,0.2822,2.0668
0.2559,2.1118,0.2931,2.0351
0.2478,2.1127,0.3039,2.0050
0.2409,2.1130,0.3132,1.9770
0.2490,2.1033,0.3237,1.9484
0.2485,2.0964,0.3340,1.9181
0.2424,2.1062,0.3434,1.8882
0.2563,2.1022,0.3534,1.8619
0.2798,2.1025,0.3640,1.8332
0.2449,2.1364,0.3750,1.8001
0.2873,2.1082,0.3852,1.7741
0.2216,2.2489,0.3984,1.7384
0.2174,2.2627,0.4069,1.7154
0.2694,2.1735,0.4184,1.6807
0.1728,2.4382,0.4285,1.6508
0.2261,2.3976,0.4417,1.6201
0.2378,2.2732,0.4510,1.5870
0.1930,2.3720,0.4608,1.5620
0.1779,2.6237,0.4707,1.5330
0.1793,2.5940,0.4796,1.5087
0.1996,2.7312,0.4875,1.4883
0.1772,2.5959,0.5025,1.4431
0.2310,2.5439,0.5029,1.4399
0.2408,2.5795,0.5191,1.3899
0.1824,2.5986,0.5241,1.3813
0.1910,2.9555,0.5356,1.3515
0.2146,2.6122,0.5427,1.3288
0.1826,2.9508,0.5489,1.3135
0.1842,2.7975,0.5581,1.2840
0.2054,2.7636,0.5713,1.2479
0.1797,2.8243,0.5698,1.2577
0.1453,3.7357,0.5860,1.2036
0.2131,3.0578,0.5922,1.1903
0.1828,3.0817,0.5955,1.1823
0.2281,3.1416,0.5986,1.1751
0.2243,2.9484,0.6119,1.1303
0.1649,3.3744,0.6112,1.1399
0.2360,2.7988,0.6255,1.0943
0.1888,3.1206,0.6271,1.0892
0.1784,3.1724,0.6339,1.0672
0.1995,3.5823,0.6531,1.0118
0.2064,3.1299,0.6664,0.9731
0.2155,3.2760,0.6812,0.9340
0.2446,3.3765,0.7003,0.8768
0.2072,3.3843,0.7080,0.8529
0.1831,4.0140,0.7216,0.8179
0.1774,4.1679,0.7430,0.7502
0.1872,4.1890,0.7527,0.7243
0.2248,3.9741,0.7608,0.7014
0.2308,3.7782,0.7983,0.5968
0.1731,5.1210,0.7980,0.6010
0.2616,3.5836,0.7521,0.7849
0.2482,3.9437,0.8411,0.4818
0.2360,4.3029,0.8645,0.4176
0.2373,4.4815,0.8652,0.4099
0.2487,4.5854,0.8646,0.4071
0.2408,3.5039,0.7484,1.0871
0.2379,3.9391,0.8669,0.4209
0.2184,4.4625,0.9085,0.3098
0.2418,4.6212,0.9198,0.2718
0.2318,4.9506,0.9263,0.2504
0.2435,5.1165,0.9301,0.2351
0.2308,5.4139,0.9335,0.2218
0.2371,5.6045,0.9401,0.2036
0.2293,5.9176,0.9442,0.1908
0.2365,5.9297,0.9492,0.1770
0.2371,6.1196,0.9541,0.1621
0.2365,6.3338,0.9584,0.1480
0.2296,6.5428,0.9635,0.1346
0.2311,6.6954,0.9667,0.1248
0.2366,6.7343,0.9703,0.1149
0.2315,6.9587,0.9733,0.1058
0.2339,7.1161,0.9760,0.0969
0.2276,7.3281,0.9783,0.0905
0.2361,7.3128,0.9810,0.0830
0.2315,7.4733,0.9831,0.0768
0.2316,7.5476,0.9848,0.0719
0.2315,7.6709,0.9858,0.0675
0.2272,7.7846,0.9871,0.0634
0.2276,7.8651,0.9885,0.0595
0.2252,8.0387,0.9895,0.0564
0.2239,8.0699,0.9901,0.0543
0.2235,8.1517,0.9909,0.0520
0.2253,8.1895,0.9910,0.0507
0.2230,8.2569,0.9913,0.0501
0.2223,8.2770,0.9916,0.0488
0.2223,8.3317,0.9918,0.0475
0.2199,8.3866,0.9919,0.0471
0.2214,8.4264,0.9919,0.0466
0.2205,8.4797,0.9918,0.0466
0.2216,8.4738,0.9921,0.0461
0.2212,8.4815,0.9916,0.0461
0.2211,8.5024,0.9917,0.0463
0.2209,8.5204,0.9914,0.0462
0.2215,8.5104,0.9912,0.0465
