val_acc,val_loss,train_acc,train_loss
0.3020,2.1620,0.1925,2.3190
0.3128,2.1702,0.2447,2.1735
0.3288,2.1929,0.2648,2.1148
0.3191,2.2293,0.2785,2.0697
0.3218,2.2566,0.2920,2.0295
0.3188,2.2852,0.3050,1.9922
0.3259,2.3075,0.3174,1.9577
0.3343,2.3235,0.3272,1.9255
0.3371,2.3405,0.3387,1.8940
0.3413,2.3665,0.3501,1.8623
0.3406,2.3939,0.3608,1.8314
0.3362,2.4346,0.3726,1.7994
0.3417,2.4609,0.3829,1.7719
0.3154,2.5126,0.3951,1.7392
0.3259,2.5364,0.4042,1.7146
0.2930,2.6223,0.4148,1.6791
0.3093,2.6495,0.4248,1.6544
0.3018,2.6769,0.4355,1.6211
0.2590,2.7528,0.4439,1.5955
0.2630,2.8165,0.4545,1.5690
0.2780,2.6965,0.4649,1.5372
0.2065,2.9363,0.4735,1.5159
0.3006,2.8163,0.4852,1.4845
0.2485,2.8480,0.4934,1.4550
0.2857,2.9244,0.5040,1.4307
0.2392,3.0006,0.5108,1.4031
0.2610,2.9985,0.5204,1.3841
0.2880,3.0300,0.5303,1.3563
0.2594,3.1621,0.5364,1.3324
0.1884,3.3767,0.5431,1.3172
0.2598,3.1722,0.5520,1.2929
0.2236,3.2110,0.5609,1.2625
0.2344,3.1463,0.5678,1.2537
0.2829,3.3138,0.5755,1.2226
0.1868,3.4545,0.5818,1.2034
0.1864,3.3149,0.5879,1.1872
0.1604,3.7182,0.5948,1.1659
0.1990,3.3993,0.6025,1.1500
0.1621,3.5780,0.6111,1.1246
0.2213,3.4784,0.6116,1.1174
0.1572,3.7141,0.6228,1.0928
0.2130,3.4874,0.6303,1.0720
0.0818,4.2282,0.6329,1.0626
0.1486,3.5971,0.6372,1.0439
0.2756,3.5684,0.6451,1.0236
0.2202,3.6038,0.6552,0.9976
0.1194,4.2135,0.6665,0.9574
0.0928,4.3004,0.6839,0.9135
0.1326,4.2745,0.7001,0.8668
0.2028,4.4376,0.7121,0.8345
0.2197,4.3203,0.7185,0.8107
0.1626,4.6958,0.7266,0.7966
0.1297,4.7550,0.7544,0.7105
0.0999,4.8593,0.7507,0.7245
0.2470,4.6117,0.7667,0.6748
0.1167,5.2687,0.7839,0.6264
0.2094,4.9686,0.8014,0.5771
0.1914,5.2827,0.8066,0.5606
0.1400,5.3634,0.7978,0.5890
0.2348,5.3846,0.8273,0.4988
0.2343,6.0033,0.8486,0.4423
0.1573,6.1038,0.8614,0.4079
0.2049,6.0619,0.8671,0.3905
0.1484,5.6823,0.7999,0.7010
0.1870,5.8457,0.8584,0.4150
0.1732,6.1000,0.9034,0.3024
0.1507,6.6250,0.9188,0.2617
0.1953,6.8835,0.9249,0.2408
0.1851,7.0559,0.9311,0.2237
0.1955,7.2160,0.9347,0.2108
0.1812,7.7534,0.9397,0.1946
0.1760,7.8590,0.9449,0.1811
0.1662,7.9690,0.9488,0.1686
0.1729,8.1085,0.9536,0.1565
0.1658,8.3704,0.9582,0.1434
0.1810,8.7396,0.9625,0.1317
0.1754,8.7583,0.9664,0.1201
0.1797,8.9769,0.9695,0.1103
0.1767,9.0431,0.9725,0.1022
0.1821,9.2699,0.9747,0.0951
0.1806,9.4681,0.9777,0.0874
0.1721,9.5329,0.9794,0.0817
0.1773,9.6556,0.9814,0.0763
0.1765,9.8349,0.9829,0.0714
0.1761,9.9336,0.9849,0.0667
0.1762,9.9886,0.9858,0.0637
0.1706,10.1271,0.9867,0.0607
0.1759,10.0921,0.9875,0.0586
0.1730,10.2259,0.9879,0.0568
0.1765,10.2659,0.9882,0.0555
0.1749,10.2892,0.9885,0.0542
0.1757,10.3631,0.9891,0.0527
0.1732,10.4191,0.9897,0.0514
0.1732,10.4347,0.9895,0.0509
0.1720,10.4683,0.9898,0.0503
0.1731,10.4745,0.9899,0.0497
0.1699,10.5040,0.9898,0.0499
0.1690,10.5272,0.9894,0.0500
0.1663,10.5441,0.9895,0.0496
0.1625,10.6002,0.9889,0.0502
