val_acc,val_loss,train_acc,train_loss
0.3755,2.4595,0.1420,2.7421
0.3947,2.4091,0.1821,2.6138
0.3988,2.3954,0.1976,2.5568
0.3990,2.3940,0.2078,2.5137
0.3925,2.4037,0.2169,2.4767
0.3890,2.4030,0.2255,2.4429
0.3880,2.3878,0.2339,2.4104
0.3870,2.3740,0.2434,2.3782
0.3757,2.3674,0.2526,2.3458
0.3628,2.3650,0.2629,2.3126
0.3479,2.3698,0.2737,2.2781
0.3318,2.3761,0.2837,2.2438
0.3158,2.3846,0.2940,2.2089
0.3490,2.3467,0.3037,2.1759
0.3420,2.3391,0.3164,2.1397
0.2839,2.3744,0.3249,2.1074
0.2904,2.3876,0.3379,2.0657
0.3064,2.3921,0.3463,2.0392
0.3174,2.3876,0.3571,2.0032
0.2661,2.4763,0.3693,1.9633
0.2399,2.4769,0.3795,1.9345
0.2763,2.4659,0.3897,1.9021
0.2404,2.6472,0.3997,1.8685
0.2166,2.5949,0.4065,1.8435
0.2558,2.5250,0.4200,1.8031
0.2258,2.6266,0.4263,1.7818
0.1918,2.8352,0.4353,1.7524
0.2563,2.5832,0.4438,1.7275
0.2395,2.6301,0.4550,1.6917
0.1995,2.9022,0.4601,1.6719
0.2527,2.7722,0.4685,1.6459
0.2474,2.6909,0.4745,1.6264
0.2079,2.7716,0.4831,1.6030
0.2458,2.7626,0.4911,1.5721
0.2427,2.7980,0.4996,1.5502
0.2699,2.7128,0.5056,1.5256
0.2218,2.8085,0.5108,1.5125
0.2555,2.9364,0.5165,1.4957
0.1897,3.1474,0.5277,1.4559
0.2033,3.0542,0.5276,1.4590
0.2508,2.8312,0.5438,1.4103
0.1932,2.9821,0.5409,1.4157
0.2260,2.9179,0.5511,1.3859
0.2277,2.9860,0.5557,1.3758
0.2101,3.2388,0.5638,1.3479
0.2019,3.0617,0.5707,1.3226
0.2235,3.1147,0.5933,1.2533
0.2248,3.1702,0.6029,1.2224
0.1861,3.1940,0.6127,1.1910
0.2310,3.2855,0.6263,1.1512
0.2020,3.4946,0.6370,1.1145
0.2054,3.4238,0.6493,1.0795
0.1818,3.6334,0.6605,1.0428
0.1740,3.6787,0.6667,1.0242
0.2038,3.4774,0.6813,0.9798
0.2075,3.7176,0.6940,0.9404
0.2011,3.8498,0.7043,0.9105
0.2178,3.9931,0.7162,0.8725
0.1764,4.3290,0.7205,0.8572
0.2107,3.8550,0.7345,0.8212
0.2043,4.0095,0.7428,0.7957
0.1940,4.1078,0.7535,0.7619
0.2150,4.1145,0.7662,0.7271
0.2072,4.2933,0.7772,0.6908
0.1859,4.5475,0.7847,0.6696
0.2114,4.3952,0.7956,0.6391
0.2008,4.6451,0.8032,0.6159
0.1815,4.9175,0.8125,0.5869
0.1977,4.8090,0.8220,0.5611
0.1904,5.0471,0.8301,0.5365
0.1927,5.1342,0.8362,0.5192
0.1982,5.1943,0.8443,0.4955
0.1942,5.3360,0.8507,0.4766
0.1870,5.5447,0.8585,0.4554
0.1864,5.7420,0.8655,0.4340
0.1886,5.7991,0.8717,0.4166
0.1902,5.8733,0.8759,0.4022
0.1956,5.9553,0.8818,0.3860
0.1946,6.0066,0.8862,0.3712
0.1900,6.1968,0.8913,0.3583
0.1896,6.2853,0.8960,0.3446
0.1917,6.3996,0.9015,0.3302
0.1958,6.4566,0.9038,0.3215
0.1920,6.5530,0.9082,0.3102
0.1944,6.6129,0.9111,0.3010
0.1992,6.6202,0.9135,0.2921
0.1957,6.7008,0.9168,0.2846
0.1981,6.7268,0.9178,0.2791
0.2027,6.7125,0.9205,0.2721
0.2010,6.7844,0.9218,0.2680
0.2048,6.7755,0.9223,0.2652
0.2057,6.8036,0.9232,0.2622
0.2048,6.8303,0.9237,0.2597
0.2056,6.8435,0.9244,0.2580
0.2072,6.8572,0.9245,0.2570
0.2069,6.8671,0.9246,0.2566
0.2088,6.8765,0.9237,0.2573
0.2083,6.8995,0.9233,0.2577
0.2084,6.9042,0.9215,0.2599
0.2073,6.9318,0.9204,0.2618
