val_acc,val_loss,train_acc,train_loss
0.3619,2.5016,0.1555,2.7198
0.3375,2.5957,0.1984,2.5663
0.3291,2.6120,0.2145,2.5012
0.3174,2.6358,0.2271,2.4515
0.3023,2.6706,0.2379,2.4091
0.2833,2.7016,0.2485,2.3703
0.2594,2.7397,0.2587,2.3329
0.2384,2.7736,0.2692,2.2962
0.2278,2.7891,0.2807,2.2597
0.2167,2.8143,0.2923,2.2230
0.2101,2.8302,0.3030,2.1864
0.2077,2.8562,0.3131,2.1503
0.1921,2.9013,0.3231,2.1159
0.1969,2.9381,0.3340,2.0806
0.2008,2.9676,0.3420,2.0479
0.1830,3.0293,0.3541,2.0133
0.1904,3.0666,0.3619,1.9844
0.1638,3.0992,0.3723,1.9509
0.1675,3.1607,0.3817,1.9228
0.1816,3.1599,0.3907,1.8922
0.1815,3.2310,0.4006,1.8577
0.1747,3.2538,0.4095,1.8312
0.1868,3.2236,0.4188,1.8053
0.1840,3.2865,0.4278,1.7756
0.2116,3.3090,0.4339,1.7499
0.1803,3.4053,0.4428,1.7237
0.1283,3.4803,0.4496,1.7039
0.2110,3.3817,0.4581,1.6757
0.1283,3.6372,0.4663,1.6509
0.1905,3.5169,0.4730,1.6273
0.1297,4.3542,0.4788,1.6126
0.1261,3.5974,0.4855,1.5922
0.1520,3.7342,0.4968,1.5558
0.0875,3.8467,0.4971,1.5516
0.0811,4.1361,0.5082,1.5176
0.1120,4.0590,0.5104,1.5084
0.0924,4.0319,0.5202,1.4842
0.1064,4.0369,0.5210,1.4748
0.1304,4.0327,0.5283,1.4564
0.1161,4.1710,0.5391,1.4215
0.0789,4.4276,0.5426,1.4103
0.0914,4.5995,0.5462,1.3985
0.1056,4.3805,0.5492,1.3910
0.0955,4.2174,0.5614,1.3483
0.0835,4.5135,0.5623,1.3508
0.0811,4.6781,0.5744,1.3075
0.0801,4.5234,0.5854,1.2735
0.0924,4.7438,0.5960,1.2397
0.0987,4.5126,0.6099,1.1978
0.0863,4.9401,0.6175,1.1724
0.0801,5.0795,0.6258,1.1495
0.0957,5.2598,0.6382,1.1107
0.1152,4.8981,0.6461,1.0860
0.0855,5.2565,0.6565,1.0522
0.0890,5.7307,0.6612,1.0341
0.0858,5.5550,0.6775,0.9896
0.1019,5.4163,0.6875,0.9614
0.1014,5.5411,0.6851,0.9665
0.0864,5.8979,0.7022,0.9136
0.0955,6.3297,0.7139,0.8801
0.1054,6.0106,0.7188,0.8655
0.0854,6.2912,0.7314,0.8271
0.0953,6.3635,0.7358,0.8121
0.0942,6.5108,0.7446,0.7894
0.1107,6.6830,0.7552,0.7560
0.0965,6.7285,0.7658,0.7252
0.0904,7.2905,0.7742,0.7020
0.1107,6.8422,0.7803,0.6815
0.1055,7.2274,0.7865,0.6614
0.1014,7.5911,0.7959,0.6380
0.1054,7.8449,0.8036,0.6138
0.0943,8.1719,0.8118,0.5902
0.1057,7.9650,0.8184,0.5716
0.1021,8.3630,0.8247,0.5531
0.1058,8.4914,0.8310,0.5350
0.1008,8.6397,0.8367,0.5169
0.1087,8.8110,0.8439,0.4997
0.1066,8.9244,0.8489,0.4847
0.1027,9.1473,0.8536,0.4703
0.1100,9.1353,0.8585,0.4555
0.1112,9.3554,0.8629,0.4428
0.1087,9.4353,0.8676,0.4296
0.1123,9.5158,0.8706,0.4203
0.1116,9.7025,0.8749,0.4077
0.1118,9.8216,0.8790,0.3978
0.1120,9.9609,0.8820,0.3881
0.1134,9.9755,0.8845,0.3801
0.1125,10.1278,0.8869,0.3734
0.1132,10.2106,0.8896,0.3665
0.1133,10.3579,0.8908,0.3611
0.1128,10.3925,0.8922,0.3571
0.1120,10.5018,0.8930,0.3536
0.1100,10.5078,0.8941,0.3507
0.1098,10.5790,0.8946,0.3490
0.1096,10.6103,0.8943,0.3473
0.1074,10.6556,0.8952,0.3457
0.1069,10.6965,0.8938,0.3468
0.1059,10.7312,0.8940,0.3476
0.1058,10.7392,0.8924,0.3498
0.1068,10.7612,0.8908,0.3521
