val_acc,val_loss,train_acc,train_loss
0.4004,2.6451,0.1072,3.0397
0.4037,2.6318,0.1359,2.9302
0.4101,2.6074,0.1500,2.8767
0.4130,2.5892,0.1614,2.8367
0.4112,2.5888,0.1708,2.8013
0.4120,2.5778,0.1793,2.7690
0.4075,2.5786,0.1876,2.7370
0.4090,2.5660,0.1958,2.7054
0.4088,2.5524,0.2051,2.6735
0.4049,2.5493,0.2137,2.6411
0.3990,2.5502,0.2227,2.6091
0.3954,2.5516,0.2315,2.5759
0.3816,2.5693,0.2395,2.5426
0.3744,2.5824,0.2493,2.5094
0.3659,2.5914,0.2581,2.4756
0.3526,2.6128,0.2675,2.4430
0.3429,2.5990,0.2761,2.4096
0.3258,2.6455,0.2848,2.3779
0.3232,2.6220,0.2938,2.3437
0.3344,2.6198,0.3045,2.3090
0.3292,2.6018,0.3149,2.2729
0.3069,2.6554,0.3226,2.2475
0.3047,2.6233,0.3324,2.2099
0.3224,2.6677,0.3411,2.1801
0.3056,2.6535,0.3497,2.1477
0.2907,2.7167,0.3581,2.1207
0.3100,2.6583,0.3670,2.0890
0.2935,2.6863,0.3756,2.0584
0.2817,2.7836,0.3843,2.0309
0.2676,2.7299,0.3907,2.0090
0.2908,2.6811,0.3996,1.9758
0.2572,2.8118,0.4070,1.9491
0.2665,2.8441,0.4137,1.9259
0.2447,2.8335,0.4185,1.9031
0.1835,2.9752,0.4269,1.8793
0.2747,2.8091,0.4336,1.8542
0.2291,2.9007,0.4406,1.8274
0.1530,3.1567,0.4452,1.8110
0.1930,2.9494,0.4513,1.7850
0.1687,3.1195,0.4575,1.7678
0.2321,2.9820,0.4649,1.7464
0.2454,2.8795,0.4710,1.7223
0.1679,3.2518,0.4771,1.7029
0.2213,3.0669,0.4788,1.6947
0.1966,3.1341,0.4853,1.6716
0.2120,3.1046,0.4966,1.6350
0.2749,2.9998,0.5088,1.5944
0.2483,3.0708,0.5189,1.5562
0.2180,3.2221,0.5304,1.5248
0.2090,3.3772,0.5386,1.4909
0.2084,3.2289,0.5479,1.4603
0.2456,3.1984,0.5594,1.4235
0.2510,3.2910,0.5674,1.3959
0.1961,3.4931,0.5766,1.3650
0.2290,3.3749,0.5860,1.3314
0.2103,3.5861,0.5977,1.2985
0.2129,3.4973,0.6048,1.2734
0.1935,3.5631,0.6093,1.2568
0.2286,3.6711,0.6217,1.2177
0.1991,3.6971,0.6304,1.1873
0.2135,3.7024,0.6400,1.1589
0.2067,3.7554,0.6483,1.1332
0.2082,3.7911,0.6569,1.1027
0.2040,3.8319,0.6658,1.0776
0.1846,4.0107,0.6705,1.0589
0.1934,4.0852,0.6839,1.0209
0.1848,4.2199,0.6934,0.9889
0.1988,4.1947,0.7010,0.9679
0.1775,4.3159,0.7087,0.9439
0.1881,4.4393,0.7185,0.9164
0.1867,4.4521,0.7266,0.8900
0.1798,4.5466,0.7348,0.8666
0.1887,4.5874,0.7431,0.8421
0.1854,4.7062,0.7514,0.8178
0.1790,4.8075,0.7575,0.7976
0.1719,4.9180,0.7640,0.7780
0.1767,4.9444,0.7702,0.7598
0.1761,5.0455,0.7770,0.7399
0.1764,5.1023,0.7831,0.7210
0.1706,5.2320,0.7890,0.7051
0.1749,5.2881,0.7941,0.6896
0.1667,5.3831,0.7986,0.6753
0.1674,5.4451,0.8031,0.6614
0.1695,5.5306,0.8081,0.6481
0.1668,5.5762,0.8121,0.6348
0.1661,5.6476,0.8152,0.6241
0.1673,5.6477,0.8196,0.6127
0.1658,5.7263,0.8227,0.6025
0.1674,5.7691,0.8257,0.5939
0.1664,5.8039,0.8275,0.5864
0.1670,5.8253,0.8298,0.5806
0.1671,5.8608,0.8316,0.5749
0.1661,5.8909,0.8328,0.5709
0.1667,5.9076,0.8340,0.5678
0.1672,5.9286,0.8349,0.5640
0.1660,5.9443,0.8348,0.5629
0.1659,5.9495,0.8353,0.5614
0.1644,5.9590,0.8346,0.5608
0.1644,5.9500,0.8342,0.5613
0.1645,5.9449,0.8336,0.5623
