val_acc,val_loss,train_acc,train_loss
0.3840,2.7765,0.1120,3.0105
0.3732,2.8101,0.1432,2.8867
0.3573,2.8451,0.1584,2.8271
0.3432,2.8805,0.1708,2.7805
0.3315,2.9162,0.1819,2.7392
0.3236,2.9551,0.1926,2.7009
0.3077,3.0096,0.2028,2.6639
0.2945,3.0537,0.2128,2.6275
0.2794,3.0999,0.2237,2.5909
0.2500,3.1575,0.2336,2.5548
0.2337,3.1898,0.2433,2.5192
0.2215,3.2296,0.2531,2.4849
0.2214,3.2643,0.2619,2.4514
0.2091,3.3166,0.2713,2.4185
0.2137,3.3473,0.2806,2.3853
0.2165,3.3758,0.2899,2.3531
0.2312,3.3950,0.2991,2.3206
0.2319,3.4166,0.3073,2.2897
0.2286,3.4529,0.3168,2.2576
0.2187,3.4625,0.3242,2.2271
0.2226,3.4850,0.3330,2.2001
0.2197,3.5156,0.3428,2.1656
0.1987,3.5913,0.3508,2.1403
0.2241,3.5851,0.3582,2.1121
0.2045,3.6397,0.3671,2.0819
0.2076,3.6482,0.3740,2.0555
0.2215,3.6750,0.3818,2.0297
0.1951,3.7533,0.3881,2.0067
0.2189,3.7714,0.3971,1.9765
0.1690,3.8797,0.4024,1.9558
0.1576,3.7989,0.4100,1.9291
0.2164,3.8808,0.4156,1.9103
0.2176,3.8821,0.4247,1.8815
0.1930,3.9599,0.4293,1.8635
0.2297,3.9569,0.4351,1.8428
0.1471,4.2274,0.4423,1.8167
0.1995,4.1931,0.4463,1.8039
0.1804,4.1422,0.4521,1.7859
0.1695,4.0345,0.4604,1.7585
0.1706,4.2068,0.4647,1.7417
0.1595,4.3024,0.4679,1.7299
0.1524,4.3080,0.4762,1.6993
0.1385,4.3597,0.4757,1.7013
0.1658,4.3810,0.4838,1.6729
0.1473,4.2978,0.4897,1.6553
0.1408,4.4022,0.4958,1.6324
0.1487,4.5611,0.5104,1.5843
0.1385,4.5128,0.5182,1.5625
0.1344,4.5083,0.5290,1.5224
0.1053,4.6572,0.5345,1.5039
0.1580,4.8786,0.5464,1.4647
0.1002,4.8819,0.5536,1.4426
0.1461,4.9096,0.5606,1.4160
0.1432,4.9731,0.5692,1.3896
0.0858,5.2407,0.5765,1.3640
0.1191,5.0692,0.5830,1.3409
0.1455,5.3305,0.5905,1.3164
0.1000,5.2852,0.5975,1.2948
0.1383,5.3272,0.6092,1.2586
0.1174,5.5705,0.6153,1.2368
0.1086,5.5890,0.6204,1.2192
0.1157,5.5502,0.6311,1.1884
0.1036,5.8052,0.6390,1.1617
0.1066,5.8682,0.6401,1.1538
0.1364,5.9107,0.6531,1.1186
0.1130,6.1533,0.6593,1.0976
0.0966,6.2575,0.6665,1.0758
0.1087,6.3979,0.6713,1.0572
0.0992,6.3933,0.6782,1.0358
0.0983,6.5311,0.6865,1.0121
0.0950,6.7007,0.6968,0.9840
0.1031,6.7596,0.7023,0.9650
0.1041,6.9531,0.7097,0.9432
0.0971,7.0916,0.7156,0.9253
0.1019,7.1635,0.7224,0.9054
0.1028,7.3153,0.7286,0.8866
0.0970,7.4343,0.7342,0.8704
0.0910,7.5764,0.7402,0.8511
0.0979,7.6850,0.7464,0.8352
0.0935,7.8293,0.7504,0.8217
0.0892,7.9487,0.7557,0.8065
0.0899,8.0438,0.7605,0.7924
0.0883,8.1653,0.7641,0.7798
0.0891,8.2374,0.7689,0.7665
0.0889,8.3594,0.7732,0.7544
0.0856,8.4544,0.7775,0.7419
0.0829,8.5551,0.7806,0.7323
0.0818,8.6566,0.7842,0.7216
0.0823,8.7195,0.7874,0.7123
0.0813,8.8556,0.7902,0.7044
0.0814,8.8824,0.7920,0.6977
0.0805,8.9512,0.7937,0.6922
0.0808,8.9745,0.7952,0.6884
0.0791,9.0519,0.7963,0.6838
0.0778,9.0764,0.7972,0.6810
0.0788,9.0769,0.7979,0.6784
0.0787,9.1050,0.7987,0.6756
0.0796,9.1192,0.7982,0.6746
0.0789,9.1106,0.7978,0.6746
0.0787,9.0928,0.7976,0.6739
